订单号,订单日期,品类,商品名称,数量,单价,销售额,成本,利润,地区,渠道,客户类型
SO-20250121-0044,2025-01-21 04:00:00,服装鞋帽,运动鞋,2,399,798,515.9,282.1,华北,直播带货,会员
SO-20250121-0045,2025-01-21 13:00:00,服装鞋帽,纯棉T恤,5,79,395,308.29,86.71,华中,线上商城,老客
SO-20250122-0046,2025-01-22 04:00:00,食品饮料,坚果礼盒,3,158,474,333.85,140.15,华东,直播带货,老客
SO-20250123-0047,2025-01-23 07:00:00,电子产品,无线蓝牙耳机,1,299,299,230.9,68.1,华北,小程序,会员
SO-20250123-0048,2025-01-23 15:00:00,服装鞋帽,运动鞋,5,399,1995,1344.09,650.91,华中,线上商城,老客
SO-20250124-0049,2025-01-24 07:00:00,电子产品,无线蓝牙耳机,3,299,897,575.38,321.62,华南,直播带货,新客
SO-20250125-0050,2025-01-25 21:00:00,食品饮料,进口红酒,2,268,536,362.48,173.52,华南,直播带货,会员
SO-20250126-0051,2025-01-26 05:00:00,服装鞋帽,纯棉T恤,4,79,316,235.9,80.1,东北,直播带货,新客
SO-20250126-0052,2025-01-26 11:00:00,食品饮料,坚果礼盒,2,158,316,237.42,78.58,华东,直播带货,会员
SO-20250127-0053,2025-01-27 00:00:00,电子产品,无线蓝牙耳机,2,299,598,488.72,109.28,华东,线上商城,新客
SO-20250127-0054,2025-01-27 10:00:00,食品饮料,坚果礼盒,1,158,158,127.21,30.79,西南,直播带货,新客
SO-20250128-0055,2025-01-28 10:00:00,食品饮料,有机牛奶,4,59,236,176.94,59.06,华南,线下门店,会员
SO-20250128-0056,2025-01-28 16:00:00,食品饮料,进口红酒,4,268,1072,735.46,336.54,东北,线下门店,新客
SO-20250128-0057,2025-01-28 20:00:00,美妆个护,口红,2,219,438,284.71,153.29,华北,线下门店,新客
SO-20250129-0058,2025-01-29 12:00:00,家居日用,落地灯,5,199,995,555.27,439.73,华中,直播带货,老客
SO-20250130-0059,2025-01-30 07:00:00,电子产品,智能手表,4,1299,5196,3226.39,1969.61,华北,线下门店,新客
SO-20250130-0060,2025-01-30 09:00:00,服装鞋帽,纯棉T恤,2,79,158,110.25,47.75,西南,线上商城,老客
SO-20250130-0061,2025-01-30 20:00:00,家居日用,落地灯,3,199,597,355.0,242.0,华南,直播带货,新客
SO-20250201-0062,2025-02-01 00:00:00,电子产品,便携充电宝,5,129,645,455.8,189.2,华中,线上商城,老客
SO-20250201-0063,2025-02-01 11:00:00,服装鞋帽,运动鞋,1,399,399,235.37,163.63,东北,小程序,老客
SO-20250202-0064,2025-02-02 00:00:00,家居日用,香薰蜡烛,5,69,345,200.37,144.63,西南,线下门店,老客
SO-20250202-0065,2025-02-02 01:00:00,食品饮料,进口红酒,1,268,268,205.58,62.42,华东,线下门店,新客
SO-20250202-0066,2025-02-02 06:00:00,食品饮料,精品咖啡豆,3,108,324,237.18,86.82,东北,直播带货,新客
SO-20250203-0067,2025-02-03 12:00:00,食品饮料,进口红酒,1,268,268,171.73,96.27,东北,线上商城,新客
SO-20250203-0068,2025-02-03 15:00:00,美妆个护,氨基酸洗面奶,3,89,267,163.23,103.77,西南,线下门店,新客
SO-20250204-0069,2025-02-04 02:00:00,电子产品,机械键盘,1,499,499,311.92,187.08,华南,小程序,老客
SO-20250204-0070,2025-02-04 03:00:00,电子产品,无线蓝牙耳机,1,299,299,208.83,90.17,华南,直播带货,老客
SO-20250204-0071,2025-02-04 16:00:00,家居日用,落地灯,5,199,995,616.53,378.47,华中,小程序,会员
SO-20250205-0072,2025-02-05 11:00:00,食品饮料,精品咖啡豆,5,108,540,399.1,140.9,华南,线下门店,会员
SO-20250206-0073,2025-02-06 18:00:00,家居日用,香薰蜡烛,5,69,345,244.91,100.09,华东,直播带货,会员
SO-20250207-0074,2025-02-07 02:00:00,美妆个护,氨基酸洗面奶,5,89,445,344.89,100.11,华东,线上商城,老客
SO-20250207-0075,2025-02-07 10:00:00,家居日用,落地灯,1,199,199,124.26,74.74,华东,线上商城,新客
SO-20250207-0076,2025-02-07 10:00:00,电子产品,便携充电宝,1,129,129,93.72,35.28,华北,小程序,老客
SO-20250208-0077,2025-02-08 01:00:00,服装鞋帽,运动鞋,3,399,1197,792.43,404.57,东北,线上商城,会员
SO-20250208-0078,2025-02-08 12:00:00,电子产品,无线蓝牙耳机,3,299,897,530.72,366.28,东北,线下门店,新客
SO-20250208-0079,2025-02-08 16:00:00,美妆个护,保湿精华,5,359,1795,1237.55,557.45,华东,小程序,会员
SO-20250209-0080,2025-02-09 15:00:00,服装鞋帽,轻薄羽绒服,2,899,1798,1315.25,482.75,华东,直播带货,新客
SO-20250210-0081,2025-02-10 10:00:00,家居日用,收纳箱,3,45,135,77.15,57.85,华中,线下门店,新客
SO-20250211-0082,2025-02-11 12:00:00,食品饮料,精品咖啡豆,2,108,216,143.64,72.36,西南,线下门店,会员
SO-20250212-0083,2025-02-12 02:00:00,家居日用,水洗棉四件套,1,329,329,235.99,93.01,华北,线上商城,新客
SO-20250212-0084,2025-02-12 09:00:00,电子产品,智能手表,3,1299,3897,2218.65,1678.35,东北,线下门店,会员
SO-20250213-0085,2025-02-13 00:00:00,家居日用,落地灯,3,199,597,366.77,230.23,华南,小程序,会员
SO-20250213-0086,2025-02-13 03:00:00,电子产品,便携充电宝,3,129,387,283.23,103.77,华北,直播带货,新客
SO-20250213-0087,2025-02-13 05:00:00,美妆个护,淡香水,3,499,1497,1167.13,329.87,东北,小程序,新客
SO-20250213-0088,2025-02-13 14:00:00,家居日用,落地灯,5,199,995,573.24,421.76,华中,线上商城,新客
SO-20250213-0089,2025-02-13 16:00:00,电子产品,机械键盘,5,499,2495,1451.14,1043.86,华中,线上商城,老客
SO-20250213-0090,2025-02-13 19:00:00,食品饮料,进口红酒,4,268,1072,803.07,268.93,华东,直播带货,老客
SO-20250214-0091,2025-02-14 00:00:00,家居日用,香薰蜡烛,3,69,207,163.93,43.07,华中,线上商城,老客
SO-20250214-0092,2025-02-14 02:00:00,美妆个护,氨基酸洗面奶,1,89,89,52.82,36.18,华中,小程序,新客
SO-20250214-0093,2025-02-14 11:00:00,电子产品,便携充电宝,5,129,645,442.93,202.07,东北,小程序,会员
SO-20250215-0094,2025-02-15 04:00:00,美妆个护,保湿精华,3,359,1077,862.08,214.92,华东,直播带货,会员
SO-20250215-0095,2025-02-15 05:00:00,食品饮料,坚果礼盒,3,158,474,291.22,182.78,华中,小程序,老客
SO-20250215-0096,2025-02-15 09:00:00,家居日用,收纳箱,5,45,225,141.69,83.31,华中,线下门店,老客
SO-20250215-0097,2025-02-15 10:00:00,电子产品,便携充电宝,4,129,516,415.31,100.69,华北,线上商城,会员
SO-20250215-0098,2025-02-15 19:00:00,服装鞋帽,运动鞋,3,399,1197,851.11,345.89,华南,小程序,新客
SO-20250216-0099,2025-02-16 07:00:00,服装鞋帽,牛仔裤,4,259,1036,792.4,243.6,华南,小程序,老客
SO-20250216-0100,2025-02-16 08:00:00,美妆个护,保湿精华,4,359,1436,1111.62,324.38,东北,小程序,会员
SO-20250216-0101,2025-02-16 10:00:00,服装鞋帽,运动鞋,2,399,798,557.45,240.55,华中,小程序,新客
SO-20250216-0102,2025-02-16 15:00:00,家居日用,香薰蜡烛,3,69,207,134.53,72.47,华北,线上商城,新客
SO-20250216-0103,2025-02-16 18:00:00,美妆个护,保湿精华,5,359,1795,1139.6,655.4,华北,小程序,新客
SO-20250216-0104,2025-02-16 19:00:00,食品饮料,有机牛奶,4,59,236,186.28,49.72,东北,线下门店,老客
SO-20250217-0105,2025-02-17 03:00:00,美妆个护,保湿精华,5,359,1795,1454.73,340.27,华北,线下门店,新客
SO-20250217-0106,2025-02-17 22:00:00,电子产品,机械键盘,1,499,499,364.38,134.62,西南,小程序,老客
SO-20250218-0107,2025-02-18 05:00:00,食品饮料,有机牛奶,5,59,295,211.19,83.81,西南,线上商城,老客
SO-20250219-0108,2025-02-19 23:00:00,食品饮料,进口红酒,5,268,1340,818.49,521.51,华南,小程序,老客
SO-20250221-0109,2025-02-21 04:00:00,电子产品,智能手表,3,1299,3897,2936.46,960.54,华南,小程序,老客
SO-20250221-0110,2025-02-21 11:00:00,美妆个护,氨基酸洗面奶,1,89,89,72.32,16.68,华南,线下门店,会员
SO-20250221-0111,2025-02-21 13:00:00,电子产品,智能手表,3,1299,3897,2424.21,1472.79,东北,线下门店,新客
SO-20250222-0112,2025-02-22 04:00:00,服装鞋帽,纯棉T恤,4,79,316,190.27,125.73,华东,直播带货,会员
SO-20250222-0113,2025-02-22 18:00:00,电子产品,智能手表,4,1299,5196,3002.87,2193.13,华南,小程序,会员
SO-20250223-0114,2025-02-23 10:00:00,美妆个护,氨基酸洗面奶,4,89,356,267.69,88.31,华南,直播带货,老客
SO-20250223-0115,2025-02-23 11:00:00,家居日用,水洗棉四件套,1,329,329,268.12,60.88,西南,小程序,老客
SO-20250223-0116,2025-02-23 22:00:00,美妆个护,氨基酸洗面奶,3,89,267,171.65,95.35,西南,直播带货,新客
SO-20250223-0117,2025-02-23 23:00:00,家居日用,水洗棉四件套,4,329,1316,976.69,339.31,东北,直播带货,新客
SO-20250224-0118,2025-02-24 05:00:00,电子产品,机械键盘,2,499,998,785.75,212.25,华北,线上商城,会员
SO-20250224-0119,2025-02-24 19:00:00,美妆个护,淡香水,3,499,1497,1159.11,337.89,东北,线上商城,新客
SO-20250225-0120,2025-02-25 07:00:00,电子产品,智能手表,3,1299,3897,3187.52,709.48,东北,线上商城,会员
SO-20250225-0121,2025-02-25 17:00:00,服装鞋帽,纯棉T恤,2,79,158,116.23,41.77,华东,线上商城,老客
SO-20250225-0122,2025-02-25 21:00:00,电子产品,机械键盘,4,499,1996,1309.56,686.44,东北,小程序,新客
SO-20250226-0123,2025-02-26 00:00:00,美妆个护,保湿精华,2,359,718,498.39,219.61,华南,线上商城,老客
SO-20250226-0124,2025-02-26 00:00:00,家居日用,落地灯,3,199,597,368.06,228.94,华中,线下门店,会员
SO-20250226-0125,2025-02-26 01:00:00,家居日用,收纳箱,3,45,135,101.21,33.79,华中,线上商城,会员
SO-20250226-0126,2025-02-26 07:00:00,食品饮料,精品咖啡豆,3,108,324,237.95,86.05,东北,小程序,老客
SO-20250226-0127,2025-02-26 08:00:00,家居日用,收纳箱,5,45,225,142.19,82.81,华北,线下门店,会员
SO-20250227-0128,2025-02-27 13:00:00,家居日用,水洗棉四件套,5,329,1645,1154.02,490.98,华北,线下门店,新客
SO-20250227-0129,2025-02-27 23:00:00,食品饮料,坚果礼盒,2,158,316,197.99,118.01,西南,线下门店,新客
SO-20250228-0130,2025-02-28 00:00:00,食品饮料,进口红酒,1,268,268,149.94,118.06,东北,小程序,会员
SO-20250228-0131,2025-02-28 16:00:00,电子产品,机械键盘,4,499,1996,1519.72,476.28,华南,直播带货,会员
SO-20250301-0132,2025-03-01 06:00:00,电子产品,机械键盘,2,499,998,671.48,326.52,华北,线上商城,新客
SO-20250302-0133,2025-03-02 00:00:00,电子产品,智能手表,3,1299,3897,2361.91,1535.09,华南,线下门店,新客
SO-20250302-0134,2025-03-02 11:00:00,家居日用,水洗棉四件套,5,329,1645,924.72,720.28,华南,线下门店,新客
SO-20250302-0135,2025-03-02 14:00:00,食品饮料,精品咖啡豆,2,108,216,160.97,55.03,东北,直播带货,会员
SO-20250303-0136,2025-03-03 05:00:00,服装鞋帽,牛仔裤,3,259,777,428.92,348.08,华东,直播带货,老客
SO-20250304-0137,2025-03-04 20:00:00,服装鞋帽,牛仔裤,3,259,777,440.59,336.41,东北,直播带货,新客
SO-20250304-0138,2025-03-04 20:00:00,美妆个护,淡香水,2,499,998,728.86,269.14,华东,线下门店,新客
SO-20250305-0139,2025-03-05 13:00:00,电子产品,便携充电宝,2,129,258,187.4,70.6,华中,线上商城,老客
SO-20250305-0140,2025-03-05 14:00:00,电子产品,机械键盘,1,499,499,321.83,177.17,华中,线下门店,会员
SO-20250305-0141,2025-03-05 14:00:00,食品饮料,坚果礼盒,1,158,158,87.49,70.51,华南,直播带货,新客
SO-20250305-0142,2025-03-05 17:00:00,电子产品,无线蓝牙耳机,5,299,1495,1058.63,436.37,华中,线上商城,老客
SO-20250305-0143,2025-03-05 17:00:00,家居日用,水洗棉四件套,1,329,329,185.69,143.31,华北,小程序,老客
SO-20250306-0144,2025-03-06 18:00:00,家居日用,收纳箱,2,45,90,57.73,32.27,华南,线上商城,新客
SO-20250308-0145,2025-03-08 12:00:00,家居日用,落地灯,1,199,199,141.27,57.73,华南,线上商城,会员
SO-20250309-0146,2025-03-09 11:00:00,美妆个护,氨基酸洗面奶,4,89,356,245.88,110.12,华北,线上商城,老客
SO-20250310-0147,2025-03-10 07:00:00,电子产品,机械键盘,4,499,1996,1614.68,381.32,华北,线上商城,新客
SO-20250310-0148,2025-03-10 17:00:00,电子产品,无线蓝牙耳机,5,299,1495,834.88,660.12,华东,线上商城,会员
SO-20250311-0149,2025-03-11 12:00:00,家居日用,落地灯,1,199,199,119.82,79.18,华南,小程序,新客
SO-20250311-0150,2025-03-11 13:00:00,家居日用,水洗棉四件套,5,329,1645,1165.7,479.3,西南,直播带货,老客
SO-20250312-0151,2025-03-12 06:00:00,美妆个护,淡香水,1,499,499,305.82,193.18,华南,线上商城,老客
SO-20250314-0152,2025-03-14 05:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,3077.38,1417.62,华东,小程序,会员
SO-20250315-0153,2025-03-15 18:00:00,服装鞋帽,牛仔裤,3,259,777,524.44,252.56,华中,线下门店,会员
SO-20250315-0154,2025-03-15 23:00:00,美妆个护,口红,5,219,1095,696.01,398.99,东北,小程序,新客
SO-20250316-0155,2025-03-16 02:00:00,家居日用,水洗棉四件套,5,329,1645,1125.23,519.77,华北,直播带货,新客
SO-20250317-0156,2025-03-17 06:00:00,食品饮料,有机牛奶,1,59,59,35.42,23.58,华中,直播带货,会员
SO-20250317-0157,2025-03-17 17:00:00,美妆个护,口红,3,219,657,384.57,272.43,华东,小程序,会员
SO-20250318-0158,2025-03-18 00:00:00,家居日用,收纳箱,3,45,135,102.47,32.53,华中,小程序,老客
SO-20250318-0159,2025-03-18 23:00:00,家居日用,香薰蜡烛,5,69,345,260.22,84.78,华北,线上商城,老客
SO-20250319-0160,2025-03-19 19:00:00,电子产品,智能手表,5,1299,6495,3879.1,2615.9,华中,线下门店,老客
SO-20250320-0161,2025-03-20 03:00:00,服装鞋帽,轻薄羽绒服,1,899,899,518.52,380.48,华北,线上商城,新客
SO-20250320-0162,2025-03-20 08:00:00,美妆个护,保湿精华,4,359,1436,1026.51,409.49,华南,小程序,新客
SO-20250321-0163,2025-03-21 01:00:00,服装鞋帽,运动鞋,4,399,1596,1174.66,421.34,西南,线下门店,新客
SO-20250321-0164,2025-03-21 03:00:00,食品饮料,坚果礼盒,1,158,158,100.6,57.4,华南,线下门店,新客
SO-20250322-0165,2025-03-22 07:00:00,电子产品,智能手表,2,1299,2598,1998.85,599.15,西南,小程序,新客
SO-20250322-0166,2025-03-22 19:00:00,电子产品,智能手表,3,1299,3897,2770.92,1126.08,华中,小程序,会员
SO-20250323-0167,2025-03-23 00:00:00,食品饮料,精品咖啡豆,4,108,432,247.49,184.51,西南,小程序,会员
SO-20250323-0168,2025-03-23 03:00:00,食品饮料,精品咖啡豆,5,108,540,361.29,178.71,华中,小程序,会员
SO-20250323-0169,2025-03-23 12:00:00,家居日用,收纳箱,2,45,90,70.56,19.44,华中,小程序,会员
SO-20250323-0170,2025-03-23 22:00:00,食品饮料,进口红酒,3,268,804,644.24,159.76,华东,线下门店,老客
SO-20250324-0171,2025-03-24 01:00:00,服装鞋帽,运动鞋,3,399,1197,927.51,269.49,华南,线下门店,老客
SO-20250324-0172,2025-03-24 08:00:00,食品饮料,坚果礼盒,1,158,158,111.32,46.68,华北,小程序,老客
SO-20250324-0173,2025-03-24 14:00:00,电子产品,智能手表,5,1299,6495,5215.26,1279.74,西南,线上商城,会员
SO-20250324-0174,2025-03-24 18:00:00,服装鞋帽,运动鞋,3,399,1197,973.95,223.05,华南,小程序,新客
SO-20250326-0175,2025-03-26 05:00:00,家居日用,落地灯,2,199,398,280.07,117.93,西南,小程序,会员
SO-20250326-0176,2025-03-26 13:00:00,家居日用,水洗棉四件套,4,329,1316,969.2,346.8,华东,线上商城,新客
SO-20250327-0177,2025-03-27 02:00:00,美妆个护,保湿精华,4,359,1436,1086.28,349.72,华中,线上商城,老客
SO-20250327-0178,2025-03-27 09:00:00,美妆个护,淡香水,1,499,499,282.31,216.69,东北,直播带货,会员
SO-20250327-0179,2025-03-27 22:00:00,服装鞋帽,纯棉T恤,4,79,316,202.54,113.46,西南,直播带货,老客
SO-20250328-0180,2025-03-28 08:00:00,服装鞋帽,运动鞋,4,399,1596,1037.91,558.09,华南,线上商城,新客
SO-20250329-0181,2025-03-29 16:00:00,家居日用,落地灯,4,199,796,576.38,219.62,西南,直播带货,新客
SO-20250329-0182,2025-03-29 19:00:00,食品饮料,有机牛奶,1,59,59,41.9,17.1,华南,小程序,老客
SO-20250329-0183,2025-03-29 21:00:00,美妆个护,保湿精华,2,359,718,422.63,295.37,东北,线下门店,会员
SO-20250330-0184,2025-03-30 01:00:00,电子产品,智能手表,4,1299,5196,2973.44,2222.56,西南,直播带货,会员
SO-20250330-0185,2025-03-30 13:00:00,电子产品,智能手表,5,1299,6495,4071.8,2423.2,华北,小程序,新客
SO-20250330-0186,2025-03-30 21:00:00,电子产品,机械键盘,4,499,1996,1151.11,844.89,华北,线下门店,老客
SO-20250331-0187,2025-03-31 11:00:00,食品饮料,精品咖啡豆,5,108,540,439.07,100.93,华东,小程序,老客
SO-20250401-0188,2025-04-01 11:00:00,服装鞋帽,运动鞋,3,399,1197,734.84,462.16,东北,小程序,会员
SO-20250401-0189,2025-04-01 13:00:00,家居日用,收纳箱,4,45,180,135.29,44.71,西南,小程序,老客
SO-20250401-0190,2025-04-01 16:00:00,家居日用,香薰蜡烛,5,69,345,213.43,131.57,东北,小程序,老客
SO-20250402-0191,2025-04-02 10:00:00,电子产品,便携充电宝,1,129,129,99.84,29.16,华中,直播带货,新客
SO-20250403-0192,2025-04-03 14:00:00,美妆个护,淡香水,5,499,2495,1783.7,711.3,华南,小程序,老客
SO-20250403-0193,2025-04-03 20:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,1605.64,1091.36,华中,线下门店,会员
SO-20250404-0194,2025-04-04 10:00:00,家居日用,收纳箱,5,45,225,180.61,44.39,华南,线上商城,老客
SO-20250404-0195,2025-04-04 23:00:00,服装鞋帽,运动鞋,3,399,1197,884.51,312.49,西南,直播带货,会员
SO-20250405-0196,2025-04-05 10:00:00,电子产品,智能手表,5,1299,6495,5141.29,1353.71,华南,直播带货,新客
SO-20250405-0197,2025-04-05 16:00:00,电子产品,智能手表,3,1299,3897,2190.88,1706.12,华东,直播带货,新客
SO-20250406-0198,2025-04-06 04:00:00,电子产品,无线蓝牙耳机,3,299,897,714.34,182.66,西南,小程序,老客
SO-20250406-0199,2025-04-06 18:00:00,美妆个护,保湿精华,2,359,718,484.8,233.2,东北,线上商城,会员
SO-20250407-0200,2025-04-07 03:00:00,服装鞋帽,轻薄羽绒服,2,899,1798,1440.18,357.82,东北,线上商城,老客
SO-20250407-0201,2025-04-07 13:00:00,电子产品,机械键盘,4,499,1996,1119.12,876.88,东北,线上商城,会员
SO-20250407-0202,2025-04-07 15:00:00,家居日用,香薰蜡烛,3,69,207,162.08,44.92,华南,线下门店,会员
SO-20250407-0203,2025-04-07 19:00:00,家居日用,落地灯,3,199,597,391.65,205.35,东北,直播带货,新客
SO-20250408-0204,2025-04-08 10:00:00,食品饮料,坚果礼盒,5,158,790,505.22,284.78,西南,小程序,会员
SO-20250408-0205,2025-04-08 13:00:00,电子产品,便携充电宝,4,129,516,314.72,201.28,华南,线上商城,新客
SO-20250408-0206,2025-04-08 14:00:00,美妆个护,保湿精华,3,359,1077,852.03,224.97,华东,小程序,会员
SO-20250410-0207,2025-04-10 13:00:00,电子产品,智能手表,1,1299,1299,760.36,538.64,华东,直播带货,会员
SO-20250410-0208,2025-04-10 16:00:00,家居日用,水洗棉四件套,1,329,329,227.8,101.2,东北,线下门店,老客
SO-20250411-0209,2025-04-11 07:00:00,美妆个护,保湿精华,1,359,359,246.71,112.29,华北,线上商城,新客
SO-20250411-0210,2025-04-11 08:00:00,电子产品,机械键盘,3,499,1497,833.94,663.06,华东,线上商城,老客
SO-20250412-0211,2025-04-12 04:00:00,家居日用,收纳箱,2,45,90,58.74,31.26,华北,直播带货,会员
SO-20250412-0212,2025-04-12 11:00:00,食品饮料,精品咖啡豆,3,108,324,239.7,84.3,西南,小程序,会员
SO-20250413-0213,2025-04-13 19:00:00,电子产品,机械键盘,3,499,1497,963.01,533.99,华中,小程序,会员
SO-20250414-0214,2025-04-14 00:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,1786.47,910.53,华东,线上商城,老客
SO-20250414-0215,2025-04-14 04:00:00,美妆个护,淡香水,5,499,2495,1451.41,1043.59,华东,线上商城,会员
SO-20250414-0216,2025-04-14 04:00:00,电子产品,无线蓝牙耳机,5,299,1495,884.58,610.42,华南,直播带货,新客
SO-20250414-0217,2025-04-14 11:00:00,家居日用,水洗棉四件套,2,329,658,481.77,176.23,东北,线下门店,会员
SO-20250414-0218,2025-04-14 12:00:00,美妆个护,保湿精华,4,359,1436,951.97,484.03,华东,直播带货,老客
SO-20250414-0219,2025-04-14 15:00:00,电子产品,机械键盘,4,499,1996,1548.82,447.18,华东,线上商城,老客
SO-20250414-0220,2025-04-14 18:00:00,家居日用,水洗棉四件套,5,329,1645,1344.9,300.1,华东,直播带货,会员
SO-20250415-0221,2025-04-15 09:00:00,家居日用,水洗棉四件套,3,329,987,799.85,187.15,华南,线上商城,会员
SO-20250415-0222,2025-04-15 12:00:00,服装鞋帽,运动鞋,3,399,1197,790.85,406.15,华南,小程序,会员
SO-20250415-0223,2025-04-15 18:00:00,电子产品,无线蓝牙耳机,5,299,1495,832.75,662.25,东北,直播带货,新客
SO-20250416-0224,2025-04-16 12:00:00,食品饮料,进口红酒,5,268,1340,1002.82,337.18,华东,小程序,会员
SO-20250416-0225,2025-04-16 17:00:00,食品饮料,坚果礼盒,4,158,632,506.79,125.21,东北,小程序,新客
SO-20250417-0226,2025-04-17 04:00:00,美妆个护,淡香水,2,499,998,594.48,403.52,华南,线上商城,新客
